                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.16138,                0.85156,                0.93258,                0.85379,                0.86148,                0.94563,                0.90419,                0.35211,                0.70057,                0.64094,               0.067066,             0.00033267,             0.00033267
                      2,                 0.1313,                 0.5869,                0.90585,                 0.7989,                0.89343,                0.93794,                0.92048,                0.22699,                0.56862,                 0.4988,               0.034044,             0.00064402,             0.00064402
                      3,                0.12558,                0.53732,                0.90375,                0.89589,                0.91117,                0.97498,                0.96007,                 0.2462,                0.49216,                0.51058,             0.00099991,             0.00093338,             0.00093338
                      4,                0.11229,                0.48825,                0.89828,                0.93524,                0.94527,                0.98428,                0.98177,                0.16255,                0.31875,                0.39698,               0.000901,               0.000901,               0.000901
                      5,                0.09901,                0.45691,                0.89271,                0.93506,                0.90577,                0.97454,                0.96031,                0.19694,                0.39848,                0.42887,               0.000868,               0.000868,               0.000868
                      6,                0.09162,                0.43467,                0.88931,                0.94344,                 0.9584,                0.98598,                0.98403,                0.14363,                0.28893,                0.36892,               0.000835,               0.000835,               0.000835
                      7,                0.08632,                0.41957,                0.88689,                0.95831,                0.95074,                0.98807,                0.98426,                0.15512,                0.27901,                 0.3707,               0.000802,               0.000802,               0.000802
                      8,                0.08268,                0.40917,                0.88433,                0.94115,                0.95033,                0.98392,                 0.9766,                0.17553,                0.30945,                0.40974,               0.000769,               0.000769,               0.000769
                      9,                0.07853,                0.39141,                0.88328,                0.95709,                0.95938,                 0.9885,                0.98539,                0.15348,                0.25522,                0.38032,               0.000736,               0.000736,               0.000736
                     10,                0.07501,                0.38188,                0.88236,                0.95166,                0.96428,                0.98785,                0.95947,                0.16335,                0.47003,                0.40328,               0.000703,               0.000703,               0.000703
                     11,                0.07114,                0.37684,                0.88356,                0.94728,                0.96057,                0.98735,                0.96111,                0.22441,                0.35604,                0.42195,                0.00067,                0.00067,                0.00067
                     12,                0.06776,                0.36413,                0.88347,                0.97043,                0.95397,                 0.9911,                0.98717,                0.16117,                0.25478,                 0.4071,               0.000637,               0.000637,               0.000637
                     13,                0.06581,                0.36105,                0.88221,                 0.9656,                0.97223,                0.99028,                0.98672,                0.14439,                0.26023,                0.38082,               0.000604,               0.000604,               0.000604
                     14,                0.06482,                0.35455,                0.87919,                0.95682,                0.97236,                0.98856,                0.96732,                0.16455,                 0.2715,                0.38655,               0.000571,               0.000571,               0.000571
                     15,                0.06313,                0.34166,                0.88152,                0.96801,                 0.9696,                0.99148,                0.99014,                0.09723,                0.17822,                0.31596,               0.000538,               0.000538,               0.000538
                     16,                0.05904,                0.32712,                 0.8788,                 0.9642,                 0.9708,                0.99106,                 0.9868,                0.11948,                0.23165,                0.33196,               0.000505,               0.000505,               0.000505
                     17,                0.05821,                0.31509,                0.87865,                0.97549,                0.97497,                 0.9925,                0.98839,                0.14041,                0.19881,                0.35908,               0.000472,               0.000472,               0.000472
                     18,                0.05586,                0.32081,                0.87748,                 0.9677,                0.97376,                0.99196,                0.99016,                0.09006,                0.17222,                0.31753,               0.000439,               0.000439,               0.000439
                     19,                    inf,                0.31121,                0.87613,                0.97074,                0.97186,                0.99214,                0.99151,                0.11445,                0.22428,                0.34259,               0.000406,               0.000406,               0.000406
                     20,                0.05129,                0.30725,                0.87881,                0.95883,                0.95856,                0.99001,                0.98211,                0.14251,                0.24365,                0.37372,               0.000373,               0.000373,               0.000373
                     21,                0.05875,                 0.1494,                0.87422,                0.97765,                0.97893,                0.99182,                0.99162,                0.07976,                0.15074,                0.29688,                0.00034,                0.00034,                0.00034
                     22,                0.04624,                0.11862,                0.86618,                0.96995,                0.96026,                0.99198,                0.99187,                0.09624,                 0.2185,                0.31801,               0.000307,               0.000307,               0.000307
                     23,                0.04155,                0.10741,                0.86474,                0.96987,                0.97883,                0.99286,                0.99255,                0.10254,                0.17468,                0.33049,               0.000274,               0.000274,               0.000274
                     24,                0.03703,                0.09777,                0.86585,                0.97931,                0.98138,                0.99347,                0.99338,                0.09941,                0.18191,                0.32394,               0.000241,               0.000241,               0.000241
                     25,                0.03542,                0.08461,                0.86119,                0.97961,                 0.9841,                0.99327,                0.99319,                0.11177,                0.19131,                 0.3461,               0.000208,               0.000208,               0.000208
                     26,                0.03279,                0.07417,                0.86022,                0.98154,                0.96783,                0.99248,                0.99248,                0.10994,                0.21074,                0.34101,               0.000175,               0.000175,               0.000175
                     27,                0.02996,                 0.0713,                0.86057,                 0.9758,                0.98094,                0.99289,                0.99287,                0.10415,                0.19222,                0.33438,               0.000142,               0.000142,               0.000142
                     28,                0.02832,                 0.0638,                0.86281,                0.98438,                0.97409,                 0.9927,                 0.9927,                0.10227,                0.20121,                 0.3349,               0.000109,               0.000109,               0.000109
                     29,                0.02558,                0.05578,                0.85963,                0.98246,                0.97935,                0.99268,                0.99266,                0.10251,                0.19999,                0.33477,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                0.02384,                0.05483,                0.85839,                0.97919,                0.98634,                  0.993,                0.99298,                0.10055,                0.20035,                 0.3327,                4.3e-05,                4.3e-05,                4.3e-05
